STT,Tên tạp chí,ISSN,eISSN,Impact Factor
1,AAPPS Bulletin, ,2309-4710, 
2,AAPS Open, ,2364-9534, 
3,AAPS PharmSciTech, ,1530-9932,3.3
4,ADHD Attention Deficit and Hyperactivity Disorders, , , 
5,AI & SOCIETY,0951-5666,1435-5655,3.0
6,AI Perspectives & Advances, ,2948-2143, 
7,AI and Ethics,2730-5953,2730-5961, 
8,AI in Civil Engineering,2097-0943,2730-5392, 
9,AIDS Research and Therapy,1742-6405, , 
10,AIDS and Behavior,1090-7165,1573-3254,4.4
11,AMB Express, ,2191-0855, 
12,AMS Review,1869-814X,1869-8182, 
13,ANNALI DELL'UNIVERSITA' DI FERRARA,0430-3202,1827-1510, 
14,A R I, , , 
15,ASEAN Heart Journal, , , 
16,AStA Advances in Statistical Analysis,1863-8171,1863-818X,1.4
17,AStA Wirtschafts- und Sozialstatistisches Archiv,1863-8155,1863-8163, 
18,ATZ - Automobiltechnische Zeitschrift,0001-2785,2192-8800, 
19,ATZ worldwide, ,2192-9076, 
20,ATZagenda, , , 
21,ATZautotechnology, , , 
22,ATZelectronics worldwide, ,2524-8804, 
23,ATZelektronik,1862-1791,2192-8878, 
24,ATZextra, , , 
25,ATZextra worldwide, , , 
26,ATZheavy duty, , , 
27,ATZheavy duty worldwide, ,2524-8774, 
28,ATZproduction worldwide, , , 
29,ATZproduktion, , , 
30,Abdominal Radiology,2366-004X,2366-0058,2.4
31,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,0025-5858,1865-8784,0.4
32,Academic Psychiatry,1042-9670,1545-7230,2.5
33,Accreditation and Quality Assurance,0949-1775,1432-0517,0.9
34,Acoustical Physics,1063-7710,1562-6865,0.8
35,Acoustics Australia, ,1839-2571,1.7
36,Acta Analytica,0353-5150,1874-6349,0.4
37,Acta Applicandae Mathematicae,0167-8019,1572-9036,1.6
38,Acta Biotheoretica,0001-5342,1572-8358,1.3
39,Acta Diabetologica, ,1432-5233,3.8
40,Acta Endoscopica, , , 
41,Acta Epileptologica,2524-4434, , 
42,Acta Geochimica,2096-0956,2365-7499,1.6
43,Acta Geodaetica et Geophysica,2213-5812,2213-5820,1.4
44,Acta Geophysica, ,1895-7455,2.3
45,Acta Geotechnica,1861-1125,1861-1133,5.7
46,Acta Informatica,0001-5903,1432-0525,0.6
47,Acta Juridica Hungarica, , , 
48,Acta Linguistica Hungarica, , , 
49,Acta Mathematica, , , 
50,Acta Mathematica Hungarica,0236-5294,1588-2632,0.9
51,Acta Mathematica Scientia,0252-9602,1572-9087,1.0
52,"Acta Mathematica Sinica, English Series",1439-8516,1439-7617,0.7
53,Acta Mathematica Vietnamica,0251-4184,2315-4144,0.5
54,"Acta Mathematicae Applicatae Sinica, English Series",0168-9673,1618-3932,0.8
55,Acta Mechanica,0001-5970,1619-6937,2.7
56,Acta Mechanica Sinica,0567-7718,1614-3116,3.5
57,Acta Mechanica Solida Sinica,0894-9166,1860-2134,2.2
58,Acta Metallurgica Sinica (English Letters),1006-7191,2194-1289,3.5
59,Acta Neurochirurgica,0001-6268,0942-0940,2.4
60,Acta Neurologica Belgica,0300-9009,2240-2993,2.7
61,Acta Neuropathologica,0001-6322,1432-0533,12.7
62,Acta Neuropathologica Communications,2051-5960, , 
63,Acta Oceanologica Sinica,0253-505X,1869-1099,1.4
64,Acta Parasitologica,1230-2821,1896-1851,1.5
65,Acta Physica Hungarica, , , 
66,Acta Physica Hungarica B) Quantum Electronics, , , 
67,Acta Physica Hungarica A) Heavy Ion Physics, , , 
68,Acta Physiologiae Plantarum, ,1861-1664,2.6
69,Acta Politica, , , 
70,Acta Scientiarum Mathematicarum,0001-6969,2064-8316,0.5
71,Acta Veterinaria Scandinavica,1751-0147, , 
72,Acta physica Academiae Scientiarum Hungaricae, , , 
73,Activitas Nervosa Superior, , , 
74,Adaptive Human Behavior and Physiology, ,2198-7335,1.6
75,Addiction Science & Clinical Practice,1940-0640, , 
76,Administration and Policy in Mental Health and Mental Health Services Research,0894-587X,1573-3289,2.6
77,Adolescent Research Review,2363-8346,2363-8354,4.7
78,Adsorption,0929-5607,1572-8757,3.3
79,Advanced Biotechnology, ,2948-2801, 
80,Advanced Composites and Hybrid Materials,2522-0128,2522-0136,20.1
81,Advanced Fiber Materials,2524-7921,2524-793X,16.1
82,Advanced Modeling and Simulation in Engineering Sciences, ,2213-7467, 
83,Advanced Performance Materials, , , 
84,Advanced Structural and Chemical Imaging, , , 
85,Advances in Aerodynamics, ,2524-6992, 
86,Advances in Applied Clifford Algebras,0188-7009,1661-4909,1.5
87,Advances in Astronautics Science and Technology,2524-5252,2524-5260, 
88,Advances in Atmospheric Sciences,0256-1530,1861-9533,5.8
89,Advances in Bridge Engineering, ,2662-5407, 
90,Advances in Computational Intelligence,2730-7794,2730-7808, 
91,Advances in Computational Mathematics,1019-7168,1572-9044,1.7
92,Advances in Continuous and Discrete Models, ,2731-4235, 
93,Advances in Contraception, , , 
94,Advances in Data Analysis and Classification,1862-5347,1862-5355,1.6
95,Advances in Gerontology,2079-0570,2079-0589,0.6
96,Advances in Health Sciences Education,1382-4996,1573-1677,4.0
97,Advances in Manufacturing,2095-3127,2195-3597,5.2
98,Advances in Neurodevelopmental Disorders,2366-7532,2366-7540, 
99,Advances in Operator Theory,2662-2009,2538-225X,0.8
100,Advances in Rheumatology,2523-3106, , 
101,Advances in Simulation,2059-0628, , 
102,Advances in Therapy, , ,3.8
